date,Ticker,shifted_prices,Close,ema_20,ema_200,ema_50
2020-12-17 00:00:00-05:00,ABNB,144.71,147.05,141.41555786940629,144.27865626388103,143.13374440820277
2020-12-18 00:00:00-05:00,ABNB,139.25,157.3,142.92836188184378,144.40822187319566,143.68928384317522
2020-12-21 00:00:00-05:00,ABNB,130.0,163.02,144.8418512264301,144.59341369535292,144.44735114344286
2020-12-22 00:00:00-05:00,ABNB,124.8,163.19,146.58929396677007,144.77845435510065,145.18235698095492
2020-12-23 00:00:00-05:00,ABNB,137.99,158.01,147.6769802556491,144.91011152569666,145.6854018052312
2020-12-24 00:00:00-05:00,ABNB,147.05,154.84,148.35917261225396,145.00891638613749,146.04440565600646
2020-12-28 00:00:00-05:00,ABNB,157.3,149.0,148.4202037920393,145.0486286609023,146.16031131655524
2020-12-29 00:00:00-05:00,ABNB,163.02,150.0,148.57066057374985,145.09789603741075,146.310887343357
2020-12-30 00:00:00-05:00,ABNB,163.19,148.43,148.55726432863082,145.1310513007201,146.39398980048026
2020-12-31 00:00:00-05:00,ABNB,158.01,146.8,148.38990582114218,145.1476577554393,146.40991176908886
2021-01-04 00:00:00-05:00,ABNB,154.84,139.15,147.50991479055722,145.087979568818,146.12520934677167
2021-01-05 00:00:00-05:00,ABNB,149.0,148.3,147.58516100098035,145.11993997111833,146.2104952547414
2021-01-06 00:00:00-05:00,ABNB,150.0,142.77,147.12657423898222,145.09655748384353,146.07557387220254
2021-01-07 00:00:00-05:00,ABNB,148.43,151.27,147.521186216222,145.15798477256152,146.27927685760636
2021-01-08 00:00:00-05:00,ABNB,146.8,149.77,147.73535895753417,145.203875471342,146.41616796122966
2021-01-11 00:00:00-05:00,ABNB,139.15,148.13,147.7729438187214,145.23299113829384,146.48337706078928
2021-01-12 00:00:00-05:00,ABNB,148.3,160.8,149.01361583598603,145.38788674885808,147.0448132544838
2021-01-13 00:00:00-05:00,ABNB,142.77,169.99,151.01136670874928,145.6326838956356,147.94462449940602
2021-01-14 00:00:00-05:00,ABNB,151.27,180.5,153.8198079745827,145.97962236433577,149.22130589158618
2021-01-15 00:00:00-05:00,ABNB,149.77,169.27,155.29125483414623,146.2113674154369,150.00752918995536
2021-01-19 00:00:00-05:00,ABNB,148.13,173.69,157.04351627851327,146.48478664513405,150.93625353544732
2021-01-20 00:00:00-05:00,ABNB,160.8,161.83,157.4993718710358,146.63747533523224,151.36345927915528
2021-01-21 00:00:00-05:00,ABNB,169.99,180.4,159.6803840737943,146.97342085428465,152.50214715056097
2021-01-22 00:00:00-05:00,ABNB,180.5,181.87,161.79368082867103,147.3206504975256,153.65382765446054
2021-01-25 00:00:00-05:00,ABNB,169.27,177.53,163.29237789260713,147.6212410398388,154.59014813859935
2021-01-26 00:00:00-05:00,ABNB,173.69,192.74,166.09691333140645,148.0701839150643,156.08622076061505
2021-01-27 00:00:00-05:00,ABNB,161.83,201.25,169.444826347463,148.59933631391937,157.857349358238
2021-01-28 00:00:00-05:00,ABNB,180.4,187.37,171.1519857429427,148.98511406203957,159.01470820693456
2021-01-29 00:00:00-05:00,ABNB,181.87,183.63,172.34036805313863,149.32983929525312,159.98001376744693
2021-02-01 00:00:00-05:00,ABNB,177.53,180.44,173.11176157188734,149.6393931331113,160.78236616872354
2021-02-02 00:00:00-05:00,ABNB,192.74,179.17,173.68873666027903,149.93323001735897,161.50344984838145
2021-02-03 00:00:00-05:00,ABNB,201.25,185.72,174.834571264062,150.28931728086783,162.45311848177826
2021-02-04 00:00:00-05:00,ABNB,187.37,195.8,176.83127876272275,150.74215989498856,163.7608393256301
2021-02-05 00:00:00-05:00,ABNB,183.63,195.31,178.59115697579676,151.1856209905608,164.99806131286027
2021-02-08 00:00:00-05:00,ABNB,180.44,200.43,180.67104678762564,151.67561481155025,166.38754910451283
2021-02-09 00:00:00-05:00,ABNB,179.17,199.88,182.50047090308988,152.1552604353159,167.70097855139468
2021-02-10 00:00:00-05:00,ABNB,185.72,211.66,185.27756891231942,152.74734739615855,169.42486174545763
2021-02-11 00:00:00-05:00,ABNB,195.8,216.84,188.28351473019376,153.3850852330127,171.28427893191028
2021-02-12 00:00:00-05:00,ABNB,195.31,212.68,190.60698951779435,153.975084384923,172.9076405424236
